study_id,citation,year,domain_top1,domain_top1_conf,domain_top2,domain_top2_conf,domain_top3,domain_top3_conf,region_top1,region_top1_conf,region_top2,region_top2_conf,region_top3,region_top3_conf,reliability_top1,reliability_top1_conf,reliability_top2,reliability_top2_conf,reliability_top3,reliability_top3_conf,confidence_score,notes
study_0013,"Jacobson-Tepfer, E",2025,Archaeology,0.437,Geoarchaeology,0.428,Anthropology,0.392,Southern Levant,0.205,Egypt,0.188,Sinai,0.043,High,0.008,Medium,0.003,Low,-0.044,0.217,"Jacobson-Tepfer, E. Jacobson-Tepfer, Esther (56236834700) 56236834700 Wild yaks, domesticated yaks, and the emergence of transhumant pastoralism in the Mongolian Altai 2025 Archaeological Research in "
study_0015,"Kibaroǧlu, M",1863,Archaeology,0.326,Landscape Archaeology,0.277,Paleoclimatology,0.271,Southern Levant,0.235,Egypt,0.202,Sinai,0.173,High,0.032,Medium,0.02,Low,-0.003,0.197,"Kibaroǧlu, M.; Kozal, E.; Crewe, L.; Martin, M.A.S.; Hein, I.; Monien, P.; Bergoffen, C.J. Kibaroǧlu, Mustafa (55782645100); Kozal, Ekin (38162134800); Crewe, Lindy (23488510100); Martin, Mario A.S. ("
study_0016,"Pasterkiewicz, W",2025,Landscape Archaeology,0.496,Archaeology,0.452,Stratigraphy,0.449,Southern Levant,0.211,Egypt,0.148,Sinai,0.116,Low,0.053,High,0.053,Medium,-0.048,0.254,"Pasterkiewicz, W.; Gȩbica, P.; Sobucki, M. Pasterkiewicz, Wojciech (57226324417); Gȩbica, Piotr (7801588230); Sobucki, Mateusz (56993767900) 57226324417; 7801588230; 56993767900 Archaeolog i cal and g"
study_0018,"Kazarov, S",2027,Stratigraphy,0.264,Paleoclimatology,0.251,Historical Geography,0.223,Southern Levant,0.191,Egypt,0.08,Sinai,-0.001,Medium,0.008,High,-0.021,Low,-0.033,0.154,"Kazarov, S.S. Kazarov, Sarkis S. (57202787688) 57202787688 DODONA IN THE ERA OF ROMAN CONQUESTS (1st C. BC – 1st C. AD); ДОДОНА В ЭПОХУ РИМСКИХ ЗАВОЕВАНИЙ (I в. до н. э. – I в. н. э.) 2025 Vestnik Vol"
study_0017,"Popa, C",1931,Archaeology,0.484,Landscape Archaeology,0.406,Stratigraphy,0.402,Egypt,0.226,Southern Levant,0.207,Sinai,0.16,High,-0.004,Medium,-0.045,Low,-0.059,0.235,"Popa, C.I.; Toderescu, A. Popa, Cristian Ioan (55193165800); Toderescu, Alin (60052676800) 55193165800; 60052676800 ON PREHISTORIC PATHS AND MOUNTAIN ROUTES: METAL ARTEFACTS FROM THE HILLS AND MOUNTAI"
study_0019,"Poigt, T",1886,Radiocarbon Chronology,0.198,Stratigraphy,0.175,Paleoclimatology,0.171,Egypt,0.06,Sinai,-0.012,Southern Levant,-0.019,Medium,0.147,Low,0.041,High,0.004,0.135,"Poigt, T.; Gorgues, A.; Dumas, A. Poigt, Thibaud (57070359200); Gorgues, Alexis (57553188600); Dumas, Antoine (60036234400) 57070359200; 57553188600; 60036234400 Early evidence for capacity standardis"
study_0020,"Ferrandin, S",1861,Radiocarbon Chronology,0.401,Archaeology,0.344,Isotope Geochemistry,0.337,Southern Levant,0.088,Egypt,0.085,Sinai,0.068,High,0.027,Low,0.025,Medium,0.005,0.172,"Ferrandin, S.; Plunkett, G.; Britton, K.; Guiry, E.; Beglane, F. Ferrandin, Sarah (57506312100); Plunkett, Gill M. (7005870407); Britton, Kate (36027962100); Guiry, Eric J. (41861383400); Beglane, Fio"
study_0021,"Haubner, R",2025,Isotope Geochemistry,0.29,Ceramic Analysis,0.259,Artifact Typology,0.255,Sinai,0.013,Southern Levant,0.003,Egypt,-0.022,Medium,0.023,Low,-0.016,High,-0.081,0.109,"Haubner, R.; Strobl, S. Haubner, Roland (7006275670); Strobl, Susanne (6603922649) 7006275670; 6603922649 Investigations of Microstructural Changes in Tin Bronzes During Cremation 2025 Metallography, "
study_0022,"Galaitsi, S",2025,Paleoclimatology,0.274,Radiocarbon Chronology,0.243,Paleography,0.242,Sinai,0.074,Southern Levant,0.062,Egypt,0.061,High,0.071,Low,0.066,Medium,0.053,0.14,"Galaitsi, S.E.; Trump, B.D.; Cline, E.H.; Kitsak, M.; Linkov, I. Galaitsi, Stephanie E. (56780463400); Trump, Benjamin D. (55329862400); Cline, Eric H. (7003485588); Kitsak, Maksim A. (23004597400); L"
study_0023,"van der Veen, P",1940,Radiocarbon Chronology,0.434,Historical Geography,0.332,Isotope Geochemistry,0.323,Sinai,0.256,Southern Levant,0.252,Egypt,0.183,Medium,0.03,Low,-0.045,High,-0.046,0.24,"van der Veen, P.G.; Wallenfels, R.; James, P. van der Veen, Pieter Gert (57194065685); Wallenfels, Ronald (57211665078); James, Peter (60067847400) 57194065685; 57211665078; 60067847400 Assyria and th"
study_0024,"Aiestaran, M",1892,Volcanology,0.228,Epigraphy,0.165,Meta-Analysis,0.156,Southern Levant,0.159,Sinai,0.136,Egypt,0.064,High,0.087,Low,0.082,Medium,0.053,0.158,"Aiestaran, M.; Garcia-Garcia, E.; Narbarte-Hernandez, J.; Ruiz-González, D.; Mendizabal, O.; Principal, J.; Agirre-Mauleon, J.; Mujika-Alustiza, J.; Etxeberria, U.; Edeso, M.; Iriarte, E. Aiestaran, M"
study_0025,"Šálková, T",2000,Epigraphy,0.176,Stratigraphy,0.174,Isotope Geochemistry,0.119,Sinai,0.149,Egypt,0.084,Southern Levant,0.084,Low,0.093,High,0.086,Medium,0.078,0.139,"Šálková, T.; Budilová, K.; Kovárník, J.; Majer, A.; Novák, J.; Pavelka, J.; Strouhalová, B.; Vobejda, L.; Šťastný, O.; Kuna, M.; Chvojka, O. Šálková, Tereza (55956732000); Budilová, Kristýna (57208883"
study_0027,"Varfolomeev, V",2025,Radiocarbon Chronology,0.598,Isotope Geochemistry,0.457,Stratigraphy,0.389,Southern Levant,0.14,Egypt,0.136,Sinai,0.091,High,0.005,Medium,-0.005,Low,-0.027,0.248,"Varfolomeev, V.; Bedelbayeva, M. Varfolomeev, Viсtor V. (36992540600); Bedelbayeva, Marina Vasilyevna (57210929242) 36992540600; 57210929242 Radiocarbon chronology of Late/Final Bronze Age sites in Ce"
study_0026,"Öztürk, S",1894,Archaeology,0.324,Landscape Archaeology,0.268,Isotope Geochemistry,0.267,Sinai,0.18,Southern Levant,0.177,Egypt,0.135,High,0.044,Low,0.006,Medium,-0.082,0.183,"Öztürk, S.; Ekmen, F.G.; Ekmen, H.; Unal, E.M.; Er, A.; Keskin, E.; Arbuckle, B.S. Öztürk, Sükran (57213708286); Ekmen, F. Gülden (57217234495); Ekmen, Hamza (57217233160); Unal, Esra Mine (5718944338"
study_0028,"Barcsi, M",2025,Archaeology,0.362,Settlement Archaeology,0.358,Radiocarbon Chronology,0.288,Egypt,0.26,Southern Levant,0.198,Sinai,0.185,Low,0.046,High,0.019,Medium,0.007,0.223,"Barcsi, M. Barcsi, Marcell (58500045900) 58500045900 House architecture in the Early Iron Age fortified settlement of Dédestapolcsány-Verebce-bérc 2025 Acta Archaeologica Academiae Scientiarum Hungari"
study_0029,"Eshel, T",1946,Archaeology,0.367,Cognitive Archaeology,0.309,Radiocarbon Chronology,0.289,Southern Levant,0.408,Egypt,0.241,Sinai,0.237,Medium,-0.01,High,-0.032,Low,-0.049,0.255,"Eshel, T.; Erel, Y.; Yahalom-Mack, N.; Gilboa, A. Eshel, Tzilla (23090983400); Erel, Yigal (7004222436); Yahalom-Mack, Naama (54781946400); Gilboa, Ayelet (6603034742) 23090983400; 7004222436; 5478194"
study_0031,"Donnelly, C",2025,Archaeology,0.406,Paleography,0.396,Epigraphy,0.377,Southern Levant,0.309,Sinai,0.287,Egypt,0.253,Medium,0.146,High,0.033,Low,0.027,0.287,"Donnelly, C.M. Donnelly, Cassandra M. (59981602700) 59981602700 Too much writing, too few scribes: Extra-scribal writing in the late Bronze Age Mediterranean (1650-1100 BCE) 2025 1 204 0 10.32028/9781"
study_0030,"el-Alim, E",2045,Archaeology,0.378,Stratigraphy,0.301,Settlement Archaeology,0.298,Egypt,0.449,Sinai,0.387,Southern Levant,0.307,High,-0.003,Medium,-0.023,Low,-0.029,0.274,"el-Alim, E.A.; El-Maksoud, M.A. el-Alim, Elsayed Abd (59866328900); El-Maksoud, Mohamed Abd (57204506962) 59866328900; 57204506962 TELL HEBOUA (THARU): ANCIENT EGYPTIAN FORTIFICATIONS FROM THE SECOND "
study_0032,"Jeanty, A",2020,Meta-Analysis,0.159,Paleoclimatology,0.145,Paleobotany,0.13,Southern Levant,0.085,Sinai,-0.012,Egypt,-0.027,Low,0.101,Medium,0.088,High,0.086,0.115,"Jeanty, A.; Bouby, L.; Mureau, C.; D'Oliveira, L.; Dham, C.; Lecomte, C.; Bonhomme, V.; Ivorra, S.; Martinez, N.A.; Antolín, F.; Buxó, R.; Figueiral, I.; Hallavant, C.; López-Reyes, D.; Marinval, P.; "
study_0033,"Zazzo, A",1903,Isotope Geochemistry,0.288,Paleoclimatology,0.258,Stratigraphy,0.202,Southern Levant,0.113,Sinai,0.101,Egypt,0.052,High,0.023,Low,0.009,Medium,-0.019,0.141,"Zazzo, A.; Le Corre, M.; Lazzerini, N.; Marchina, C.; Bayarkhuu, N.; Bernard, V.; Cervel, M.; Fiorillo, D.; Joly, D.; Lemoine, M.; Télouk, P.; Thil, F.; Tsagaan, T.; Balter, V.; Coulon, A.; Lepetz, S."
study_0034,"Frère, A",2014,Epigraphy,0.308,Stratigraphy,0.282,Isotope Geochemistry,0.211,Sinai,0.115,Southern Levant,0.097,Egypt,0.045,Medium,0.057,Low,0.046,High,0.04,0.16,"Frère, A.; Löffelmann, T.; Veselka, B.; Stamataki, E.; Sengelov, A.; James, H.F.; De Mulder, G.; Claes, B.; de Backer, F.; Snoeck, C. Frère, Anneminne (58800373100); Löffelmann, Tessi (58088996900); V"
study_0035,"Ucchesu, M",2076,Epigraphy,0.214,Meta-Analysis,0.176,Paleoclimatology,0.155,Southern Levant,0.194,Sinai,0.125,Egypt,0.08,High,0.097,Medium,0.075,Low,0.073,0.168,"Ucchesu, M.; Ivorra, S.; Bonhomme, V.; Pastor, T.; Aranguren, B.; Bacchetta, G.; Bosi, G.; Cardarelli, A.; Depalmas, A.; de Zuccato, G.; Florenzano, A.; Gibaja-Bao, J.F.; Mariotti Lippi, M.M.; Mazzucc"
study_0036,"Chazin, H",2025,Archaeology,0.455,Paleoclimatology,0.419,Stratigraphy,0.407,Southern Levant,0.188,Egypt,0.17,Sinai,0.127,Medium,0.002,Low,-0.038,High,-0.066,0.215,"Chazin, H. Chazin, Hannah (56117911200) 56117911200 Herding in mountain pastures: diverse isotopic biographies across species in the Late Bronze Age South Caucasus 2025 Archaeological and Anthropologi"
study_0038,"Sharapov, D",2025,Archaeology,0.499,Settlement Archaeology,0.46,Landscape Archaeology,0.46,Southern Levant,0.238,Egypt,0.175,Sinai,0.105,Medium,0.062,High,-0.027,Low,-0.032,0.266,"Sharapov, D.V. Sharapov, Denis V. (57211686660) 57211686660 The tyranny of nomadic ethnography: Re-approaching Late Bronze Age (2100–1300 BCE) mobility in the central Eurasian steppes 2025 Journal of "
study_0039,"Humphrey, T",2025,Archaeology,0.441,Settlement Archaeology,0.393,Cognitive Archaeology,0.358,Egypt,0.279,Southern Levant,0.22,Sinai,0.164,Medium,0.063,Low,0.0,High,-0.001,0.261,"Humphrey, T.J.W. Humphrey, Thomas John William (60112250100) 60112250100 Ayios Iakovos-Dhima, Ideological Stake-Claiming, and Social Reproduction in Northeast Cyprus in the Late Bronze Age 2025 Near E"
study_0037,"Khubanova, A",2066,Isotope Geochemistry,0.217,Radiocarbon Chronology,0.204,Paleoclimatology,0.168,Southern Levant,0.087,Egypt,0.079,Sinai,0.036,Low,0.021,High,0.005,Medium,-0.007,0.108,"Khubanova, A.M.; Khubanov, V.B.; Miyagashev, D.A.; Dikiy, Y.V.; Bazarov, B.A.; Savchuk, O.V.; Smoleva, I.V. Khubanova, A. M. (57223841156); Khubanov, Valentin Borisovich (6507227953); Miyagashev, D. A"
study_0040,"Irvine, B",1900,Isotope Geochemistry,0.467,Paleoclimatology,0.458,Radiocarbon Chronology,0.439,Southern Levant,0.145,Egypt,0.136,Sinai,0.063,High,-0.027,Low,-0.046,Medium,-0.076,0.195,"Irvine, B.; Luke, C.; Çakirlar, C.; Kaner, T.; Özbal, R.; Fındıklar, Ş.; Roosevelt, C.H. Irvine, Benjamin (56556415100); Luke, Christina (23967769000); Çakirlar, Canan (54977661200); Kaner, Tunç (5939"
study_0041,"Kibaroǧlu, M",1863,Isotope Geochemistry,0.414,Archaeology,0.384,Radiocarbon Chronology,0.379,Egypt,0.211,Southern Levant,0.206,Sinai,0.177,High,-0.016,Medium,-0.017,Low,-0.031,0.203,"Kibaroǧlu, M.; Kozal, E.; Monien, P. Kibaroǧlu, Mustafa (55782645100); Kozal, Ekin (38162134800); Monien, Patrick (35186358100) 55782645100; 38162134800; 35186358100 Long-distance trade relations in t"
study_0042,"Powell, W",2021,Radiocarbon Chronology,0.463,Archaeology,0.404,Isotope Geochemistry,0.395,Southern Levant,0.084,Egypt,0.06,Sinai,0.037,Medium,0.032,Low,0.005,High,-0.005,0.193,"Powell, W.; Mathur, R.; Yener, K.A.; Johnson, M. Powell, Wayne G. (26431567900); Mathur, Ryan D. (7202180005); Yener, K. Aslihan (6506255690); Johnson, Michael (57190845045) 26431567900; 7202180005; 6"
study_0043,"Szczurek, G",2008,Archaeology,0.386,Settlement Archaeology,0.379,Stratigraphy,0.358,Southern Levant,0.142,Sinai,0.113,Egypt,0.11,Medium,0.029,Low,0.007,High,-0.013,0.186,"Szczurek, G.; Kowalski, Ł.; Stos-Gale, Z.A.; Kaczmarek, M.; Maas, R.; Woodhead, J. Szczurek, Grzegorz (56993808900); Kowalski, Łukasz (57162607700); Stos-Gale, Zofia Anna (6602480094); Kaczmarek, MacI"
study_0044,"Galindo-Pellicena, M",2095,Zooarchaeology,0.356,Paleoclimatology,0.307,Bioarchaeology,0.296,Southern Levant,0.215,Sinai,0.142,Egypt,0.127,High,0.062,Low,0.001,Medium,-0.004,0.211,"Galindo-Pellicena, M.A.; Pérez-Romero, A.; Iriarte, E.; de Gaspar, I.; Arsuaga, J.L.; Carretero Díaz, J.M. Galindo-Pellicena, Mª Ángeles (35490235100); Pérez-Romero, Amalia (55848436100); Iriarte, E. "
study_0045,"Lozić, E",2025,Archaeology,0.473,Landscape Archaeology,0.44,Settlement Archaeology,0.405,Egypt,0.241,Southern Levant,0.221,Sinai,0.209,Low,0.023,High,-0.002,Medium,-0.041,0.246,"Lozić, E.; Štular, B. Lozić, Edisa (42262168900); Štular, Benjamin (36560513500) 42262168900; 36560513500 Archaeological LiDAR in Mediterranean Karst Landscapes. A Multiproxy Dating Method for Archaeo"
study_0046,"Elena, K",2025,Archaeology,0.449,Radiocarbon Chronology,0.38,Stratigraphy,0.357,Egypt,0.176,Sinai,0.117,Southern Levant,0.108,High,0.052,Medium,0.037,Low,0.031,0.226,"Elena, K.A.; Dmitry, S.V. Elena, Karavashkina A. (59674915800); Dmitry, Semin V. (59675305300) 59674915800; 59675305300 STONE AND POTTERY ASSEMBLAGES OF THE LATE BRONZE AGE OF THE ISHKININO ARCHAEOLOG"
study_0047,"Fischer, P",2080,Archaeology,0.387,Cognitive Archaeology,0.351,Landscape Archaeology,0.28,Egypt,0.186,Sinai,0.173,Southern Levant,0.165,High,-0.022,Low,-0.056,Medium,-0.059,0.184,"Fischer, P.M.; Feldbacher, R.; Gasanova, S.; Hermon, S.; Lorentz, K.O.; Miyauchi, Y.; Orabi, R.; Vassallo, V. Fischer, Peter M. (57212080908); Feldbacher, Rainer (55325704600); Gasanova, Svetlana (571"
study_0048,"Özcan, A",1842,Archaeology,0.405,Landscape Archaeology,0.329,Bioarchaeology,0.325,Egypt,0.237,Southern Levant,0.191,Sinai,0.073,High,0.031,Medium,0.006,Low,0.002,0.224,"Özcan, A. Özcan, Ali (56448184200) 56448184200 A Group of Iron Age Fibulae From Hierapolis Archeology Museum; Hierapolis Arkeoloji Müzesinden Bir Grup Demir Çağı Fibulası 2025 Art-Sanat Dergisi 23 20 "
study_0049,"Chang, Y",2025,Anthropology,0.293,Epigraphy,0.271,Cultural Memory,0.271,Southern Levant,0.119,Egypt,0.111,Sinai,-0.014,Medium,0.12,High,0.016,Low,-0.004,0.177,"Chang, Y. Chang, Yan (59514989900) 59514989900 Research on the art of saddle felt applique of the Pazyryk culture in the Altai region; 阿尔泰地区巴泽雷克文化马鞍毛毡贴花艺术研究 2025 Journal of Silk 62 1 101 109 0 10.3969"
study_0051,"Zangani, F",1922,Archaeology,0.471,Cognitive Archaeology,0.357,Landscape Archaeology,0.348,Egypt,0.532,Sinai,0.362,Southern Levant,0.282,Medium,-0.024,High,-0.079,Low,-0.103,0.326,"Zangani, F. Zangani, Federico (57192233234) 57192233234 Amarna in Global History and as a Global City 2025 Journal of Egyptian Archaeology 03075133251348473 0 10.1177/03075133251348473 https://www.sco"
study_0050,"Standall, E",2025,Archaeology,0.282,Zooarchaeology,0.26,Bioarchaeology,0.233,Egypt,0.175,Southern Levant,0.152,Sinai,0.113,High,0.061,Medium,0.053,Low,0.031,0.173,"Standall, E.A.; Craig, O.E.; Kneisel, J.; Müller, J.; Kirleis, W.; Czebreszuk, J.; Heron, C. Standall, Edward A. (57223126265); Craig, Oliver Edward (7004388517); Kneisel, Jutta (55627403500); Müller,"
study_0052,"Diffey, C",1989,Epigraphy,0.271,Archaeology,0.268,Cognitive Archaeology,0.245,Sinai,0.286,Egypt,0.184,Southern Levant,0.182,High,0.103,Low,0.089,Medium,0.082,0.22,"Diffey, C.; Styring, A.; Orengo, H.A.; Athanassiadou, A.; Bessios, M.; Morris, S.; Noulas, K.; Papadopoulos, J.; Livarda, A. Diffey, Charlotte (56563138900); Styring, Amy K. (35198947700); Orengo, Hec"
study_0053,"Gil Fuensanta, J",2025,Archaeology,0.339,Paleoclimatology,0.337,Historical Geography,0.329,Southern Levant,0.27,Sinai,0.199,Egypt,0.18,Medium,0.057,High,0.032,Low,-0.002,0.222,"Gil Fuensanta, J.; Mederos Martín, A.; Muminov, O. Gil Fuensanta, Jesús (60004610200); Mederos Martín, Alfredo (60004117400); Muminov, Otabek Uktamovich (57213264195) 60004610200; 60004117400; 5721326"
study_0054,"Sörman, A",1940,Radiocarbon Chronology,0.407,Archaeology,0.377,Stratigraphy,0.357,Southern Levant,0.09,Sinai,0.06,Egypt,0.028,Medium,0.024,Low,-0.014,High,-0.022,0.174,"Sörman, A.; Ojala, K. Sörman, Anna (57194088515); Ojala, Karin (57219149018) 57194088515; 57219149018 The final stages of the Nordic Bronze Age – Chronology, definition and research issues.; Den nordi"
study_0055,"Turk, P",1921,Archaeology,0.457,Radiocarbon Chronology,0.451,Stratigraphy,0.395,Egypt,0.184,Southern Levant,0.13,Sinai,0.091,High,0.019,Medium,0.009,Low,-0.002,0.22,"Turk, P.; Heath, D.J.; Zuliani, T. Turk, Peter (57210767523); Heath, David J. (57192180202); Zuliani, Tea (23480751000) 57210767523; 57192180202; 23480751000 The Urnfield period Dragomelj I hoard: arc"
study_0056,"de Castro, G",2051,Radiocarbon Chronology,0.36,Isotope Geochemistry,0.333,Archaeology,0.321,Southern Levant,0.2,Sinai,0.129,Egypt,0.117,Medium,0.069,High,0.028,Low,0.014,0.21,"de Castro, G.D.; Fabián García, J.F.; Montero-Ruiz, I. de Castro, Germán Delibes (57205185941); Fabián García, José Francisco (55349843900); Montero-Ruiz, Ignacio (59663036000) 57205185941; 5534984390"
study_0057,"Valles-Iriso, J",1940,Landscape Archaeology,0.488,Geoarchaeology,0.461,Stratigraphy,0.457,Southern Levant,0.251,Sinai,0.108,Egypt,0.094,High,0.033,Low,0.006,Medium,-0.017,0.257,"Valles-Iriso, J.; Herranz-Rodrigo, D.; Ortiz Nieto-Márquez, I. Valles-Iriso, Javier (57194033066); Herranz-Rodrigo, Darío (57219414794); Ortiz Nieto-Márquez, Irene (59988499500) 57194033066; 572194147"
study_0058,"Ankushev, M",1933,Stratigraphy,0.385,Archaeology,0.334,Isotope Geochemistry,0.323,Egypt,0.151,Sinai,0.144,Southern Levant,0.13,High,0.02,Low,0.017,Medium,-0.011,0.186,"Ankushev, M.N.; Fayzullin, I.A. Ankushev, Maksim N. (57193349595); Fayzullin, Ildar A. (59983439100) 57193349595; 59983439100 METALLURGICAL SLAGS AND METALWORKING OF THE ORENBURG FORE-URALS LATE BRONZ"
study_0059,"Ovsyannikov, V",2044,Paleography,0.436,Stratigraphy,0.41,Paleoclimatology,0.404,Egypt,0.122,Southern Levant,0.114,Sinai,0.071,Low,0.039,High,0.031,Medium,0.03,0.199,"Ovsyannikov, V.V. Ovsyannikov, Vladimir V. (57204462442) 57204462442 THE EXPERIENCE OF PALEOECOLOGICAL STUDY OF IRON AGE SETTLEMENTS IN THE FOREST-STEPPE FORE-URALS; ОПЫТ ПАЛЕОЭКОЛОГИЧЕСКОГО ИЗУЧЕНИЯ "
